"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"118","T
                                                                        Jorgensen","Boise Hawks","95","401","116","56","36","21","4","4","29","69","0.289","0.37","0.392","18","5","-","4","93","123","0.76","460",2022,"hitter"
"119","M
                                                                        Rich","Colorado Springs Sky Sox","58","163","47","18","13","2","2","-","4","34","0.288","0.333","0.325","1","6","2","2","49","34","1.44","185",2022,"hitter"
"120","C
                                                                        Phelts","Colorado Springs Sky Sox","82","302","87","49","34","12","10","7","29","100","0.288","0.372","0.464","8","3","7","3","69","46","1.50","354",2022,"hitter"
"121","J
                                                                        Barth","Billings Mustangs","77","250","72","31","10","11","1","5","17","23","0.288","0.344","0.4","12","1","1","8","86","60","1.43","274",2022,"hitter"
"122","A
                                                                        Ray","Ogden Raptors","17","66","19","10","5","4","1","-","5","4","0.288","0.347","0.379","1","-","2","-","22","20","1.10","74",2022,"hitter"
"123","B
                                                                        Perez","Rocky Mountain Vibes","54","195","56","20","8","8","2","-","10","49","0.287","0.325","0.349","4","2","1","3","46","40","1.15","210",2022,"hitter"
"124","J
                                                                        Malec","Great Falls Voyagers","84","353","101","43","27","12","2","6","20","104","0.286","0.354","0.382","12","4","-","4","74","67","1.10","396",2022,"hitter"
"125","J
                                                                        Esparza","Rocky Mountain Vibes","14","56","16","7","2","3","-","2","5","18","0.286","0.31","0.446","-","-","1","-","14","9","1.56","59",2022,"hitter"
"1","O
                                                                        Sanchez","Billings Mustangs","8","1","1","0","-","-","-","-","0","-","1","1","1","-","-","-","-","-","-","-","1",2023,"hitter"
"2","A
                                                                        Rios","Rocky Mountain Vibes","4","16","10","4","1","2","-","1","3","2","0.625","0.647","0.938","-","-","-","-","2","2","1.00","17",2023,"hitter"
"3","B
                                                                        Held","Great Falls Voyagers","35","6","3","1","-","-","-","-","0","2","0.5","0.5","0.5","-","-","-","-","1","-","-","6",2023,"hitter"
"3","V
                                                                        Rodriguez","Idaho Falls Chukars","34","4","2","1","-","1","-","-","1","-","0.5","0.5","0.75","-","-","-","-","2","-","-","4",2023,"hitter"
"5","J
                                                                        McMurray","Rocky Mountain Vibes","55","205","92","50","29","11","-","1","12","10","0.449","0.515","0.517","2","3","-","6","64","38","1.68","239",2023,"hitter"
"6","C
                                                                        De Guzman","Great Falls Voyagers","16","59","26","9","6","3","1","-","4","13","0.441","0.485","0.525","-","1","-","-","12","9","1.33","66",2023,"hitter"
"7","B
                                                                        McPherson","Billings Mustangs","10","7","3","2","2","-","-","-","0","3","0.429","0.5","0.429","-","1","-","-","-","2","-","10",2023,"hitter"
"8","K
                                                                        Willman","Missoula PaddleHeads","21","75","32","15","10","8","1","2","11","9","0.427","0.494","0.64","2","2","-","-","16","17","0.94","89",2023,"hitter"
"9","K
                                                                        O'Brien","Glacier Range Riders","4","12","5","3","-","1","-","-","1","3","0.417","0.462","0.5","1","-","-","-","4","-","-","13",2023,"hitter"
"10","B
                                                                        Ryan","Billings Mustangs","34","116","48","27","14","8","-","4","12","11","0.414","0.489","0.586","4","1","2","2","30","27","1.11","137",2023,"hitter"
"11","D
                                                                        Henderson","Ogden Raptors","41","97","39","16","15","10","-","5","15","25","0.402","0.487","0.66","1","-","-","1","21","11","1.91","113",2023,"hitter"
"12","J
                                                                        Smith","Grand Junction Jackalopes","19","5","2","0","-","1","-","-","1","3","0.4","0.4","0.6","-","-","-","-","-","-","-","5",2023,"hitter"
"12","J
                                                                        Urena","Idaho Falls Chukars","2","5","2","0","-","-","-","-","0","3","0.4","0.4","0.4","-","-","-","-","-","-","-","5",2023,"hitter"
"14","D
                                                                        Hubbard","Missoula PaddleHeads","69","281","111","50","23","29","1","11","41","46","0.395","0.456","0.623","10","2","1","8","56","62","0.90","317",2023,"hitter"
"15","J
                                                                        Soto","Ogden Raptors","16","64","25","20","8","3","-","5","8","14","0.391","0.446","0.672","-","2","-","-","12","15","0.80","74",2023,"hitter"
"16","S
                                                                        Olsson","Boise Hawks","28","108","42","27","15","7","-","1","8","13","0.389","0.478","0.481","7","4","-","3","25","28","0.89","134",2023,"hitter"
"17","B
                                                                        Carson","Rocky Mountain Vibes","18","70","27","18","17","8","-","2","10","15","0.386","0.494","0.586","-","2","2","-","18","15","1.20","91",2023,"hitter"
"18","X
                                                                        Washington","Great Falls Voyagers","65","275","105","39","17","17","1","4","22","43","0.382","0.419","0.495","4","5","2","2","61","66","0.92","303",2023,"hitter"
"19","J
                                                                        Coutts","Colorado Springs Sky Sox","85","331","126","89","40","25","4","18","47","52","0.381","0.453","0.644","8","5","-","6","84","71","1.18","384",2023,"hitter"
"20","J
                                                                        Cruce","Grand Junction Jackalopes","90","387","146","96","41","25","-","23","48","75","0.377","0.444","0.62","7","2","-","7","83","80","1.04","437",2023,"hitter"
"21","J
                                                                        Broughton","Ogden Raptors","21","93","35","16","7","6","1","-","7","9","0.376","0.417","0.462","1","2","-","-","26","23","1.13","103",2023,"hitter"
"22","R
                                                                        Jepson","Great Falls Voyagers","82","321","120","49","54","24","5","1","30","27","0.374","0.465","0.489","5","5","-","8","103","63","1.63","385",2023,"hitter"
"23","N
                                                                        Ultsch","Ogden Raptors","89","343","128","73","35","27","5","7","39","67","0.373","0.441","0.542","8","2","-","16","103","42","2.45","388",2023,"hitter"
"24","R
                                                                        McCarthy","Great Falls Voyagers","22","86","32","25","15","7","2","6","15","19","0.372","0.466","0.709","1","1","-","-","14","18","0.78","103",2023,"hitter"
"25","J
                                                                        Johnson","Grand Junction Jackalopes","96","419","155","106","64","35","5","22","62","79","0.37","0.456","0.635","4","2","1","8","90","91","0.99","490",2023,"hitter"
"26","A
                                                                        Shumaker","Grand Junction Jackalopes","27","79","29","5","8","6","1","-","7","20","0.367","0.474","0.468","8","-","2","1","14","13","1.08","97",2023,"hitter"
"27","D
                                                                        Miller","Glacier Range Riders","90","361","130","80","56","27","2","15","44","77","0.36","0.448","0.571","7","7","-","8","85","67","1.27","431",2023,"hitter"
"28","J
                                                                        Barfield","Rocky Mountain Vibes","77","286","102","98","44","27","-","22","49","67","0.357","0.449","0.682","9","6","4","4","45","79","0.57","349",2023,"hitter"
"29","L
                                                                        Navarro","Missoula PaddleHeads","67","247","88","58","45","17","-","10","27","44","0.356","0.46","0.547","5","3","-","7","54","59","0.92","300",2023,"hitter"
"30","T
                                                                        Jeffries","Rocky Mountain Vibes","12","31","11","2","7","2","-","-","2","5","0.355","0.524","0.419","4","-","-","-","9","6","1.50","42",2023,"hitter"
"31","S
                                                                        Wilmer","Rocky Mountain Vibes","52","130","46","40","35","7","1","10","18","44","0.354","0.522","0.654","12","1","2","-","17","24","0.71","180",2023,"hitter"
"32","H
                                                                        George","Colorado Springs Sky Sox","88","348","123","59","53","23","8","16","47","36","0.353","0.445","0.603","6","2","1","1","85","100","0.85","410",2023,"hitter"
"33","J
                                                                        Faile","Billings Mustangs","54","201","71","70","20","19","-","21","40","58","0.353","0.414","0.761","3","3","-","5","25","50","0.50","227",2023,"hitter"
"34","J
                                                                        Teixeira","Ogden Raptors","86","350","123","74","28","32","-","11","43","45","0.351","0.405","0.537","7","5","-","9","95","81","1.17","390",2023,"hitter"
"35","A
                                                                        Guadalupe","Colorado Springs Sky Sox","85","333","117","89","23","21","4","17","42","39","0.351","0.393","0.592","3","5","2","8","93","78","1.19","366",2023,"hitter"
"36","B
                                                                        Brown","Idaho Falls Chukars","59","225","79","25","39","15","4","3","22","58","0.351","0.465","0.493","9","-","1","2","38","46","0.83","274",2023,"hitter"
"37","K
                                                                        Figueiredo","Grand Junction Jackalopes","40","151","53","46","37","17","-","9","26","27","0.351","0.492","0.642","8","3","1","2","34","40","0.85","200",2023,"hitter"
"38","R
                                                                        Washington Jr.","Grand Junction Jackalopes","90","357","125","88","54","19","2","24","45","67","0.35","0.44","0.616","6","3","-","9","72","90","0.80","420",2023,"hitter"
"39","P
                                                                        Chung","Missoula PaddleHeads","79","316","110","51","22","17","2","6","25","32","0.348","0.399","0.472","9","6","-","5","74","99","0.75","353",2023,"hitter"
"40","C
                                                                        Petersen","Rocky Mountain Vibes","54","190","66","44","41","15","4","6","25","50","0.347","0.486","0.563","13","3","-","3","30","46","0.65","247",2023,"hitter"
"41","K
                                                                        Greenwalt","Missoula PaddleHeads","88","365","126","93","35","23","4","21","48","44","0.345","0.414","0.603","13","7","-","11","81","113","0.72","420",2023,"hitter"
"42","A
                                                                        Chouinard","Grand Junction Jackalopes","46","145","50","30","16","8","-","6","14","37","0.345","0.436","0.524","9","2","1","2","28","30","0.93","173",2023,"hitter"
"43","E
                                                                        Lopez","Rocky Mountain Vibes","71","288","99","66","40","21","2","12","35","51","0.344","0.427","0.556","4","3","-","4","68","70","0.97","335",2023,"hitter"
"44","G
                                                                        Wurtz","Billings Mustangs","90","355","122","71","35","22","3","19","44","71","0.344","0.413","0.583","9","3","-","8","68","81","0.84","402",2023,"hitter"
"45","J
                                                                        Guenther","Missoula PaddleHeads","84","326","112","77","50","13","1","8","22","31","0.344","0.435","0.463","9","8","-","12","91","92","0.99","393",2023,"hitter"
"46","D
                                                                        Stroup","Rocky Mountain Vibes","94","365","125","108","68","25","6","20","51","77","0.342","0.456","0.608","12","5","-","3","64","91","0.70","450",2023,"hitter"
"47","A
                                                                        Baeza","Boise Hawks","72","258","88","72","51","15","1","14","30","54","0.341","0.442","0.57","2","8","-","9","51","66","0.77","319",2023,"hitter"
"48","J
                                                                        Williams","Great Falls Voyagers","83","304","103","85","30","16","-","12","28","54","0.339","0.407","0.51","9","6","-","21","91","54","1.69","349",2023,"hitter"
"49","C
                                                                        Monroe","Idaho Falls Chukars","27","101","34","20","14","6","-","4","10","25","0.337","0.424","0.515","2","1","-","1","22","19","1.16","118",2023,"hitter"
"50","D
                                                                        Poteet","Boise Hawks","68","250","84","52","38","24","5","9","38","62","0.336","0.421","0.58","1","3","-","4","53","44","1.20","292",2023,"hitter"
"51","E
                                                                        Diaz","Colorado Springs Sky Sox","75","286","96","48","34","23","-","2","25","64","0.336","0.409","0.437","2","1","-","5","82","39","2.10","323",2023,"hitter"
"52","C
                                                                        Denning","Billings Mustangs","79","292","98","65","49","14","3","16","33","51","0.336","0.44","0.568","8","3","1","5","55","87","0.63","353",2023,"hitter"
"53","B
                                                                        Reyes","Colorado Springs Sky Sox","3","6","2","0","1","-","-","-","0","2","0.333","0.429","0.333","-","-","-","-","1","1","1.00","7",2023,"hitter"
"53","M
                                                                        Rodriguez","Idaho Falls Chukars","2","9","3","2","-","-","-","1","1","2","0.333","0.333","0.667","-","-","-","-","2","2","1.00","9",2023,"hitter"
"55","P
                                                                        Robertson","Colorado Springs Sky Sox","92","320","106","64","70","21","8","11","40","70","0.331","0.462","0.55","11","4","3","4","67","77","0.87","408",2023,"hitter"
"56","L
                                                                        Fisher","Grand Junction Jackalopes","26","67","22","14","4","6","-","3","9","13","0.328","0.375","0.552","1","-","-","-","16","14","1.14","72",2023,"hitter"
"57","C
                                                                        Dunn Jr.","Rocky Mountain Vibes","45","168","55","37","14","17","-","6","23","46","0.327","0.374","0.536","1","4","-","2","27","39","0.69","187",2023,"hitter"
"58","A
                                                                        Ray","Grand Junction Jackalopes","66","223","73","42","22","12","1","5","18","38","0.327","0.387","0.457","1","2","2","7","41","71","0.58","250",2023,"hitter"
"59","C
                                                                        Phelts","Ogden Raptors","89","324","106","56","49","17","8","2","27","52","0.327","0.426","0.448","9","3","7","5","100","67","1.49","392",2023,"hitter"
"60","M
                                                                        Edie","Billings Mustangs","67","251","82","39","19","16","6","2","24","57","0.327","0.388","0.462","7","1","5","4","67","42","1.60","283",2023,"hitter"
"61","D
                                                                        Perez","Colorado Springs Sky Sox","65","193","63","47","43","9","-","12","21","24","0.326","0.453","0.56","5","4","-","4","44","59","0.75","245",2023,"hitter"
"62","R
                                                                        Alexiades","Ogden Raptors","94","365","119","90","73","31","4","29","64","81","0.326","0.433","0.671","-","5","-","15","83","81","1.02","443",2023,"hitter"
"63","D
                                                                        Matthews","Colorado Springs Sky Sox","82","286","93","68","53","17","1","22","40","81","0.325","0.432","0.622","4","4","-","4","56","58","0.97","347",2023,"hitter"
"64","M
                                                                        Wong","Grand Junction Jackalopes","59","216","70","40","27","15","1","5","21","36","0.324","0.402","0.472","2","1","2","3","65","36","1.81","248",2023,"hitter"
"65","A
                                                                        Herron Jr.","Rocky Mountain Vibes","64","235","76","54","26","16","1","7","24","49","0.323","0.396","0.489","4","3","-","5","53","53","1.00","268",2023,"hitter"
"66","E
                                                                        Acosta","Idaho Falls Chukars","55","220","71","33","34","12","2","1","15","24","0.323","0.425","0.409","5","-","1","14","76","44","1.73","260",2023,"hitter"
"67","T
                                                                        Lomack","Billings Mustangs","89","351","113","62","33","14","4","10","28","74","0.322","0.375","0.47","3","10","3","4","86","80","1.07","400",2023,"hitter"
"68","E
                                                                        Smith","Grand Junction Jackalopes","39","112","36","20","10","8","-","5","13","38","0.321","0.421","0.527","10","1","-","1","14","24","0.58","133",2023,"hitter"
"69","C
                                                                        Kirtley","Glacier Range Riders","59","228","73","43","35","18","1","15","34","53","0.32","0.412","0.605","2","2","-","5","39","61","0.64","267",2023,"hitter"
"70","E
                                                                        Peralta","Rocky Mountain Vibes","82","303","97","51","36","19","3","6","28","89","0.32","0.394","0.462","5","6","5","5","69","55","1.25","355",2023,"hitter"
"71","S
                                                                        Gozzo","Ogden Raptors","59","197","63","35","44","10","2","4","16","39","0.32","0.446","0.452","4","4","4","6","63","39","1.62","253",2023,"hitter"
"72","T
                                                                        DeBonville","Missoula PaddleHeads","68","233","74","47","19","12","3","11","26","70","0.318","0.367","0.536","1","3","-","6","46","41","1.12","256",2023,"hitter"
"73","D
                                                                        Williams","Grand Junction Jackalopes","31","101","32","13","9","6","-","2","8","11","0.317","0.366","0.436","-","2","-","5","36","21","1.71","112",2023,"hitter"
"74","E
                                                                        Americaan","Rocky Mountain Vibes","24","79","25","15","10","9","-","2","11","24","0.316","0.427","0.506","6","1","-","2","18","13","1.38","96",2023,"hitter"
"75","J
                                                                        Hubbard","Grand Junction Jackalopes","94","392","124","117","45","20","8","25","53","84","0.316","0.407","0.599","18","4","1","9","88","87","1.01","460",2023,"hitter"
"76","D
                                                                        Maiben","Boise Hawks","57","193","61","31","15","11","2","-","13","12","0.316","0.387","0.394","11","6","1","5","64","55","1.16","226",2023,"hitter"
"77","L
                                                                        Williams","Ogden Raptors","80","299","94","72","56","24","1","13","38","86","0.314","0.425","0.532","3","2","-","8","56","60","0.93","360",2023,"hitter"
"78","L
                                                                        Barns","Ogden Raptors","53","172","54","31","12","7","-","2","9","24","0.314","0.39","0.39","12","4","-","5","48","44","1.09","200",2023,"hitter"
"79","W
                                                                        Crenshaw","Billings Mustangs","15","51","16","17","11","4","-","4","8","14","0.314","0.429","0.627","-","1","1","2","14","8","1.75","64",2023,"hitter"
"80","M
                                                                        Dinesen","Glacier Range Riders","86","310","97","55","18","24","2","7","33","77","0.313","0.348","0.471","1","4","2","5","76","58","1.31","335",2023,"hitter"
"81","A
                                                                        Meggs","Grand Junction Jackalopes","49","192","60","32","23","10","-","1","11","23","0.313","0.38","0.38","1","5","2","2","48","64","0.75","223",2023,"hitter"
"82","R
                                                                        Narea","Ogden Raptors","86","301","94","55","35","15","-","9","24","50","0.312","0.395","0.452","9","4","10","9","89","72","1.24","359",2023,"hitter"
"83","G
                                                                        DiGiacomo","Missoula PaddleHeads","37","109","34","14","23","7","-","1","8","23","0.312","0.446","0.404","5","2","1","4","24","28","0.86","140",2023,"hitter"
"84","K
                                                                        Higgins","Colorado Springs Sky Sox","30","87","27","17","10","3","-","2","5","17","0.31","0.381","0.414","-","-","1","2","27","14","1.93","98",2023,"hitter"
"84","B
                                                                        Trammell","Rocky Mountain Vibes","11","29","9","8","5","1","-","3","4","11","0.31","0.444","0.655","2","-","-","-","6","3","2.00","36",2023,"hitter"
"86","T
                                                                        Halsema","Idaho Falls Chukars","92","345","107","61","52","25","4","6","35","71","0.31","0.4","0.458","3","5","-","7","82","85","0.96","405",2023,"hitter"
"87","M
                                                                        Clayton","Glacier Range Riders","75","271","84","52","34","18","-","13","31","44","0.31","0.406","0.52","12","3","-","9","59","81","0.73","320",2023,"hitter"
"88","B
                                                                        Huber","Glacier Range Riders","17","55","17","12","10","4","-","1","5","18","0.309","0.424","0.436","1","-","-","1","9","10","0.90","66",2023,"hitter"
"88","T
                                                                        Minder","Boise Hawks","91","330","102","61","31","17","3","8","28","52","0.309","0.377","0.452","10","8","2","6","60","112","0.54","381",2023,"hitter"
"90","D
                                                                        Conners","Ogden Raptors","91","334","103","69","44","21","1","5","27","55","0.308","0.393","0.422","9","10","5","11","73","108","0.68","402",2023,"hitter"
"91","B
                                                                        Crosby","Rocky Mountain Vibes","73","276","85","39","43","16","3","6","25","76","0.308","0.422","0.453","13","2","-","3","49","61","0.80","334",2023,"hitter"
"92","J
                                                                        Elvir","Missoula PaddleHeads","27","104","32","23","14","8","-","6","14","28","0.308","0.395","0.558","1","-","-","-","21","21","1.00","119",2023,"hitter"
"93","T
                                                                        Bouchard","Colorado Springs Sky Sox","71","270","83","53","43","18","1","10","29","82","0.307","0.402","0.493","1","2","-","3","53","50","1.06","316",2023,"hitter"
"94","B
                                                                        Fitzgerald","Glacier Range Riders","77","268","82","55","29","23","2","13","38","80","0.306","0.381","0.552","6","4","-","-","33","69","0.48","307",2023,"hitter"
"95","E
                                                                        McCabe","Rocky Mountain Vibes","66","226","69","42","20","9","-","4","13","31","0.305","0.373","0.398","6","3","-","9","74","53","1.40","255",2023,"hitter"
"96","J
                                                                        Newman-Dodd","Missoula PaddleHeads","19","69","21","23","8","2","-","7","9","11","0.304","0.385","0.638","1","-","-","2","18","15","1.20","78",2023,"hitter"
"97","M
                                                                        Herron Jr.","Rocky Mountain Vibes","83","323","98","71","21","14","3","13","30","88","0.303","0.351","0.486","4","2","2","3","77","62","1.24","352",2023,"hitter"
"98","C
                                                                        Taylor","Glacier Range Riders","71","244","74","59","46","6","3","13","22","75","0.303","0.425","0.512","7","2","-","2","52","41","1.27","299",2023,"hitter"
"99","M
                                                                        Golda","Grand Junction Jackalopes","50","165","50","27","21","7","2","2","11","30","0.303","0.392","0.406","5","3","5","3","55","35","1.57","199",2023,"hitter"
"100","M
                                                                        O'Connor","Missoula PaddleHeads","87","334","101","73","42","21","6","18","45","78","0.302","0.396","0.563","12","3","-","3","53","93","0.57","391",2023,"hitter"
"101","B
                                                                        Evans","Billings Mustangs","30","96","29","25","7","6","-","2","8","15","0.302","0.36","0.427","4","4","2","-","25","26","0.96","113",2023,"hitter"
"102","S
                                                                        Troyer","Idaho Falls Chukars","57","226","68","27","26","14","-","1","15","58","0.301","0.391","0.376","8","1","2","8","48","48","1.00","263",2023,"hitter"
"103","C
                                                                        Bocchino","Great Falls Voyagers","17","50","15","5","10","2","1","1","4","20","0.3","0.444","0.44","3","-","-","1","9","5","1.80","63",2023,"hitter"
"103","A
                                                                        Nielsen","Grand Junction Jackalopes","20","40","12","5","3","2","-","1","3","7","0.3","0.349","0.425","-","-","2","1","13","10","1.30","45",2023,"hitter"
"103","J
                                                                        Pyle","Ogden Raptors","11","10","3","0","3","-","-","-","0","2","0.3","0.462","0.3","-","-","-","-","2","2","1.00","13",2023,"hitter"
"103","R
                                                                        Yeargain","Missoula PaddleHeads","16","50","15","8","4","3","-","2","5","13","0.3","0.352","0.48","-","-","-","2","10","12","0.83","54",2023,"hitter"
"107","G
                                                                        Howell","Glacier Range Riders","94","371","111","68","65","26","2","17","45","77","0.299","0.418","0.518","14","5","-","4","85","92","0.92","455",2023,"hitter"
"108","J
                                                                        Raper","Glacier Range Riders","90","351","105","74","42","23","3","11","37","79","0.299","0.381","0.476","8","6","-","9","58","105","0.55","407",2023,"hitter"
"108","E
                                                                        Sanchez","Billings Mustangs","36","117","35","20","12","6","1","1","8","20","0.299","0.371","0.393","2","1","-","2","36","23","1.57","132",2023,"hitter"
"110","K
                                                                        Oyama","Boise Hawks","72","269","80","39","30","15","1","1","17","35","0.297","0.371","0.372","4","4","2","8","91","60","1.52","309",2023,"hitter"
"111","R
                                                                        Cash","Missoula PaddleHeads","69","264","78","31","26","8","4","3","15","32","0.295","0.361","0.39","3","3","2","4","78","71","1.10","298",2023,"hitter"
"112","R
                                                                        Paller","Idaho Falls Chukars","34","99","29","20","23","8","-","4","12","30","0.293","0.435","0.495","2","-","2","2","21","20","1.05","126",2023,"hitter"
"113","T
                                                                        Wyatt","Idaho Falls Chukars","83","267","78","64","32","17","-","14","31","49","0.292","0.368","0.513","2","3","-","5","62","74","0.84","304",2023,"hitter"
"114","S
                                                                        Barmakian","Rocky Mountain Vibes","40","137","40","35","23","6","4","4","14","26","0.292","0.389","0.482","-","2","-","1","43","27","1.59","162",2023,"hitter"
"115","N
                                                                        Marcelo","Boise Hawks","40","96","28","8","12","6","-","-","6","28","0.292","0.37","0.354","-","-","1","2","18","20","0.90","109",2023,"hitter"
"116","A
                                                                        Bernard","Missoula PaddleHeads","57","182","53","36","36","6","1","6","13","46","0.291","0.412","0.434","4","4","-","2","31","50","0.62","226",2023,"hitter"
"117","C
                                                                        Gordon","Missoula PaddleHeads","85","313","91","64","38","14","5","13","32","87","0.291","0.385","0.492","10","-","1","2","57","69","0.83","362",2023,"hitter"
"118","M
                                                                        Hogan","Rocky Mountain Vibes","45","152","44","32","27","6","3","10","19","46","0.289","0.409","0.566","5","2","1","1","22","42","0.52","187",2023,"hitter"
"119","B
                                                                        Donovan","Billings Mustangs","62","149","43","13","11","3","1","4","8","46","0.289","0.344","0.403","2","1","1","4","45","14","3.21","164",2023,"hitter"
"120","K
                                                                        Jimenez","Colorado Springs Sky Sox","65","212","61","30","24","11","2","6","19","35","0.288","0.362","0.443","2","2","3","5","53","63","0.84","243",2023,"hitter"
"121","A
                                                                        Figueredo","Billings Mustangs","33","129","37","38","17","9","-","9","18","18","0.287","0.4","0.566","8","1","-","2","21","48","0.44","155",2023,"hitter"
"122","S
                                                                        Cullen","Idaho Falls Chukars","48","182","52","36","20","9","1","6","16","49","0.286","0.366","0.445","3","-","1","3","36","43","0.84","206",2023,"hitter"
"122","N
                                                                        Michaels","Colorado Springs Sky Sox","44","140","40","28","18","6","1","3","10","40","0.286","0.366","0.407","2","4","1","2","32","28","1.14","165",2023,"hitter"
"124","C
                                                                        Thompson","Missoula PaddleHeads","87","316","90","59","45","21","4","10","35","62","0.285","0.375","0.472","4","6","-","5","72","90","0.80","371",2023,"hitter"
"125","C
                                                                        Horner","Ogden Raptors","56","184","52","26","16","15","1","1","17","27","0.283","0.351","0.391","5","3","1","7","51","58","0.88","209",2023,"hitter"
"1","D
                                                                        Landis","Colorado Springs Sky Sox","46","1","1","0","-","1","-","-","1","-","1","1","2","-","-","-","-","-","-","-","1",2024,"hitter"
"1","T
                                                                        Weldon","Colorado Springs Sky Sox","3","1","1","0","-","-","-","-","0","-","1","1","1","-","-","-","-","-","-","-","1",2024,"hitter"
"3","R
                                                                        Gonzalez","Idaho Falls Chukars","31","132","61","35","13","11","1","2","14","11","0.462","0.497","0.606","1","5","-","3","35","29","1.21","151",2024,"hitter"
"4","T
                                                                        Clark-Chiapparelli","Ogden Raptors","1","5","2","0","1","-","-","-","0","1","0.4","0.5","0.4","-","-","-","-","1","1","1.00","6",2024,"hitter"
"4","R
                                                                        McCarthy","Glacier Range Riders","29","125","50","18","16","8","2","8","18","24","0.4","0.472","0.688","2","1","-","1","29","23","1.26","144",2024,"hitter"
"4","L
                                                                        Navigato","Idaho Falls Chukars","1","5","2","0","1","-","-","-","0","1","0.4","0.5","0.4","-","-","-","-","1","1","1.00","6",2024,"hitter"
"7","C
                                                                        Mize","Rocky Mountain Vibes","18","63","25","14","7","6","-","3","9","13","0.397","0.465","0.635","1","-","1","-","7","18","0.39","72",2024,"hitter"
"8","A
                                                                        Fogel","Missoula PaddleHeads","89","348","135","115","61","27","1","35","63","88","0.388","0.495","0.773","16","3","-","6","49","68","0.72","428",2024,"hitter"
"9","M
                                                                        Rosario","Missoula PaddleHeads","81","344","133","72","47","18","3","10","31","62","0.387","0.469","0.544","8","2","1","8","85","56","1.52","402",2024,"hitter"
"10","B
                                                                        O'Saben","Glacier Range Riders","4","13","5","4","1","1","-","-","1","1","0.385","0.467","0.462","1","-","-","-","3","3","1.00","15",2024,"hitter"
"10","B
                                                                        Trammell","Colorado Springs Sky Sox","5","13","5","3","5","2","-","-","2","5","0.385","0.556","0.538","-","-","-","-","2","1","2.00","18",2024,"hitter"
"12","B
                                                                        Marine","Yuba-Sutter Freebirds","84","337","129","68","38","21","1","9","31","65","0.383","0.445","0.531","2","3","1","12","74","64","1.16","381",2024,"hitter"
"13","L
                                                                        Navarro","Missoula PaddleHeads","24","93","35","25","12","6","-","4","10","13","0.376","0.448","0.57","-","-","-","4","30","11","2.73","105",2024,"hitter"
"14","L
                                                                        Williams","Ogden Raptors","2","8","3","3","-","-","-","-","0","2","0.375","0.333","0.375","-","1","-","-","3","1","3.00","9",2024,"hitter"
"15","P
                                                                        Chung","Missoula PaddleHeads","87","358","134","63","62","32","5","11","48","46","0.374","0.477","0.584","10","2","2","2","84","85","0.99","434",2024,"hitter"
"16","X
                                                                        Washington","Great Falls Voyagers","94","374","139","86","53","30","5","13","48","87","0.372","0.453","0.583","6","4","1","6","75","70","1.07","438",2024,"hitter"
"17","M
                                                                        Dinesen","Glacier Range Riders","35","140","52","33","20","11","-","8","19","38","0.371","0.46","0.621","3","-","2","1","23","25","0.92","165",2024,"hitter"
"18","J
                                                                        Gonzalez","Yuba-Sutter Freebirds","88","322","119","84","57","22","4","19","45","75","0.37","0.473","0.64","9","3","1","9","79","51","1.55","392",2024,"hitter"
"19","A
                                                                        Guadalupe","Colorado Springs Sky Sox","21","65","24","26","12","5","-","3","8","11","0.369","0.474","0.585","1","-","-","1","18","11","1.64","78",2024,"hitter"
"20","K
                                                                        Dugan","Grand Junction Jackalopes","63","225","83","68","37","11","-","22","33","48","0.369","0.469","0.711","10","5","-","4","45","48","0.94","277",2024,"hitter"
"21","J
                                                                        Coutts","Colorado Springs Sky Sox","90","356","130","110","40","25","2","20","47","68","0.365","0.437","0.615","10","6","-","8","84","73","1.15","412",2024,"hitter"
"22","E
                                                                        Yake","Rocky Mountain Vibes","89","348","127","61","42","21","3","3","27","48","0.365","0.445","0.468","10","2","3","8","83","82","1.01","405",2024,"hitter"
"23","D
                                                                        Brutcher","Ogden Raptors","35","124","45","25","26","12","-","6","18","26","0.363","0.48","0.605","2","-","-","2","29","22","1.32","152",2024,"hitter"
"24","C
                                                                        Bagnieski","Ogden Raptors","73","276","100","62","36","16","2","6","24","35","0.362","0.432","0.5","1","4","5","4","69","78","0.88","322",2024,"hitter"
"25","P
                                                                        Howard","Ogden Raptors","95","389","140","62","22","25","3","4","32","60","0.36","0.405","0.47","10","4","1","8","99","83","1.19","426",2024,"hitter"
"26","K
                                                                        Willman","Missoula PaddleHeads","53","192","69","55","23","12","1","10","23","38","0.359","0.423","0.589","1","4","-","5","41","42","0.98","220",2024,"hitter"
"27","T
                                                                        Hardy","Idaho Falls Chukars","21","84","30","18","12","5","2","1","8","16","0.357","0.45","0.5","3","1","1","2","23","16","1.44","101",2024,"hitter"
"28","B
                                                                        Barrera","Oakland Ballers","89","348","124","91","53","22","-","23","45","63","0.356","0.44","0.618","2","4","-","12","80","78","1.03","407",2024,"hitter"
"29","D
                                                                        Matthews","Colorado Springs Sky Sox","88","316","112","81","76","19","1","19","39","79","0.354","0.488","0.601","10","4","-","5","67","59","1.14","406",2024,"hitter"
