"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"45","U
                                                                        Cantu","Rocky Mountain Vibes","83","337","116","77","41","21","1","14","36","71","0.344","0.417","0.537","4","4","-","10","82","58","1.41","386",2022,"hitter"
"46","J
                                                                        Fitzpatrick","Grand Junction Jackalopes","42","160","55","35","13","11","-","7","18","35","0.344","0.398","0.544","2","1","1","1","26","41","0.63","177",2022,"hitter"
"47","B
                                                                        Dansereau","Ogden Raptors","86","335","115","93","32","23","6","12","41","77","0.343","0.425","0.555","19","5","-","4","59","82","0.72","391",2022,"hitter"
"48","J
                                                                        Teixeira","Boise Hawks","90","352","120","84","37","28","3","15","46","31","0.341","0.411","0.565","10","7","-","16","83","111","0.75","406",2022,"hitter"
"49","C
                                                                        Lopez","Rocky Mountain Vibes","63","244","83","46","28","17","-","4","21","28","0.34","0.406","0.459","1","3","2","5","74","60","1.23","278",2022,"hitter"
"50","A
                                                                        Garcia","Rocky Mountain Vibes","17","62","21","14","7","4","1","-","5","13","0.339","0.403","0.435","1","2","-","1","14","15","0.93","72",2022,"hitter"
"51","T
                                                                        Kelly","Idaho Falls Chukars","38","133","45","27","22","12","1","4","17","13","0.338","0.447","0.534","5","1","-","3","32","41","0.78","161",2022,"hitter"
"52","N
                                                                        Gatewood","Missoula PaddleHeads","94","403","136","96","20","36","2","14","52","67","0.337","0.369","0.541","5","8","-","8","91","113","0.81","436",2022,"hitter"
"53","A
                                                                        Atwood","Great Falls Voyagers","22","92","31","20","11","6","1","3","10","14","0.337","0.411","0.522","2","2","-","3","25","21","1.19","107",2022,"hitter"
"54","T
                                                                        DeBonville","Idaho Falls Chukars","31","119","40","25","8","7","2","4","13","34","0.336","0.375","0.529","-","1","-","2","20","21","0.95","128",2022,"hitter"
"55","E
                                                                        Lopez","Rocky Mountain Vibes","64","259","87","48","22","10","8","10","28","50","0.336","0.388","0.552","2","3","-","7","64","56","1.14","286",2022,"hitter"
"56","J
                                                                        Hubbard","Grand Junction Jackalopes","60","233","78","39","14","11","3","6","20","52","0.335","0.378","0.485","4","3","-","5","54","43","1.26","254",2022,"hitter"
"57","F
                                                                        Aberouette","Glacier Range Riders","9","27","9","8","4","2","1","1","4","5","0.333","0.419","0.593","-","-","-","1","6","7","0.86","31",2022,"hitter"
"57","F
                                                                        Loera","Great Falls Voyagers","13","42","14","4","4","4","-","-","4","10","0.333","0.404","0.429","1","-","-","1","15","3","5.00","47",2022,"hitter"
"57","S
                                                                        Ullian","Ogden Raptors","60","204","68","45","22","20","1","10","31","55","0.333","0.403","0.588","4","3","-","3","36","46","0.78","233",2022,"hitter"
"60","E
                                                                        McCabe","Glacier Range Riders","88","282","93","49","28","18","-","3","21","42","0.33","0.397","0.426","6","4","1","11","89","52","1.71","321",2022,"hitter"
"61","R
                                                                        Alexiades","Ogden Raptors","91","352","116","97","62","23","6","14","43","83","0.33","0.425","0.548","1","6","1","3","77","77","1.00","422",2022,"hitter"
"62","M
                                                                        Piatnik","Billings Mustangs","22","76","25","11","10","7","1","1","9","23","0.329","0.409","0.487","1","1","-","1","7","20","0.35","88",2022,"hitter"
"63","S
                                                                        Barmakian","Idaho Falls Chukars","91","384","126","69","53","32","3","4","39","61","0.328","0.42","0.458","9","2","-","8","94","98","0.96","448",2022,"hitter"
"64","J
                                                                        Kline","Billings Mustangs","68","223","73","39","15","11","7","9","27","69","0.327","0.375","0.561","5","5","-","2","27","52","0.52","248",2022,"hitter"
"65","R
                                                                        Cash","Glacier Range Riders","90","331","108","56","47","11","2","3","16","41","0.326","0.404","0.399","-","6","2","6","86","93","0.92","386",2022,"hitter"
"66","P
                                                                        Adams","Ogden Raptors","84","316","103","60","62","9","2","5","16","68","0.326","0.436","0.415","3","4","8","4","95","51","1.86","393",2022,"hitter"
"67","S
                                                                        Linscott","Glacier Range Riders","50","206","67","42","14","15","3","4","22","26","0.325","0.371","0.485","2","2","-","3","58","51","1.14","224",2022,"hitter"
"68","B
                                                                        Riley","Missoula PaddleHeads","75","321","104","63","42","21","3","14","38","64","0.324","0.399","0.539","1","4","-","10","72","77","0.94","368",2022,"hitter"
"69","K
                                                                        Willman","Missoula PaddleHeads","65","258","83","43","34","14","3","6","23","64","0.322","0.399","0.469","2","4","-","3","40","64","0.63","298",2022,"hitter"
"70","N
                                                                        Michaels","Rocky Mountain Vibes","45","171","55","39","15","15","-","5","20","47","0.322","0.381","0.497","2","1","-","2","37","27","1.37","189",2022,"hitter"
"71","J
                                                                        Johnson","Grand Junction Jackalopes","62","250","80","41","21","16","2","10","28","61","0.32","0.369","0.52","-","3","-","5","65","46","1.41","274",2022,"hitter"
"71","C
                                                                        Thompson","Missoula PaddleHeads","95","375","120","69","47","26","2","12","40","75","0.32","0.393","0.496","1","4","-","4","87","87","1.00","427",2022,"hitter"
"73","J
                                                                        Cruce","Grand Junction Jackalopes","92","366","117","94","38","23","-","19","42","86","0.32","0.388","0.538","5","3","-","9","72","85","0.85","412",2022,"hitter"
"74","H
                                                                        Hisky","Idaho Falls Chukars","93","388","124","81","50","32","4","7","43","41","0.32","0.396","0.477","4","8","-","7","88","128","0.69","450",2022,"hitter"
"75","B
                                                                        Daniel","Great Falls Voyagers","88","338","108","56","59","20","4","12","36","81","0.32","0.434","0.509","11","2","-","1","55","90","0.61","410",2022,"hitter"
"76","B
                                                                        Hueth","Idaho Falls Chukars","64","254","81","33","33","21","3","2","26","32","0.319","0.392","0.449","-","4","-","7","80","56","1.43","291",2022,"hitter"
"77","B
                                                                        Williams","Glacier Range Riders","12","22","7","1","3","1","-","-","1","3","0.318","0.423","0.364","1","-","-","1","9","1","9.00","26",2022,"hitter"
"78","J
                                                                        Fry","Great Falls Voyagers","19","63","20","9","10","5","-","1","6","16","0.317","0.405","0.444","-","1","2","2","16","14","1.14","76",2022,"hitter"
"79","J
                                                                        Schulefand","Boise Hawks","13","41","13","1","5","2","-","-","2","7","0.317","0.404","0.366","1","-","-","1","13","8","1.63","47",2022,"hitter"
"80","A
                                                                        Nielsen","Grand Junction Jackalopes","68","262","83","28","22","13","-","2","15","36","0.317","0.375","0.389","4","3","4","5","70","69","1.01","295",2022,"hitter"
"81","J
                                                                        Garcia","Billings Mustangs","76","308","97","56","22","11","9","11","31","91","0.315","0.37","0.516","7","4","-","4","47","69","0.68","341",2022,"hitter"
"82","M
                                                                        Annone","Rocky Mountain Vibes","60","220","69","54","21","19","-","3","22","31","0.314","0.39","0.441","8","2","1","6","62","57","1.09","252",2022,"hitter"
"83","D
                                                                        Hernandez","Rocky Mountain Vibes","63","246","77","53","19","19","3","8","30","55","0.313","0.374","0.512","6","2","-","8","57","50","1.14","273",2022,"hitter"
"84","D
                                                                        Connors","Ogden Raptors","89","324","101","62","46","25","2","6","33","61","0.312","0.399","0.457","4","4","1","4","69","92","0.75","379",2022,"hitter"
"85","J
                                                                        Elvir","Grand Junction Jackalopes","84","308","96","83","34","17","1","19","37","89","0.312","0.39","0.558","8","4","-","6","58","65","0.89","354",2022,"hitter"
"86","J
                                                                        Akins","Missoula PaddleHeads","68","197","61","42","25","12","2","7","21","53","0.31","0.394","0.497","3","1","-","3","40","38","1.05","226",2022,"hitter"
"87","R
                                                                        Phillips","Idaho Falls Chukars","27","68","21","12","10","3","-","-","3","19","0.309","0.397","0.353","-","-","-","-","20","8","2.50","78",2022,"hitter"
"88","D
                                                                        Kolbush","Great Falls Voyagers","73","266","82","50","32","13","2","5","20","71","0.308","0.386","0.429","4","4","-","6","62","51","1.22","306",2022,"hitter"
"89","D
                                                                        Miller","Glacier Range Riders","82","312","96","75","30","23","2","15","40","62","0.308","0.376","0.538","7","5","-","12","88","53","1.66","354",2022,"hitter"
"90","N
                                                                        Emanuel","Great Falls Voyagers","25","88","27","13","6","2","-","-","2","11","0.307","0.367","0.33","3","1","-","1","27","20","1.35","98",2022,"hitter"
"91","C
                                                                        Runge","Great Falls Voyagers","89","336","103","60","48","16","2","11","29","64","0.307","0.407","0.464","10","2","-","8","77","81","0.95","396",2022,"hitter"
"92","D
                                                                        Macaluso","Ogden Raptors","50","121","37","31","15","8","1","5","14","32","0.306","0.396","0.512","5","3","2","4","20","36","0.56","146",2022,"hitter"
"93","J
                                                                        Raper","Billings Mustangs","92","337","103","60","36","27","7","11","45","75","0.306","0.377","0.525","4","2","2","7","69","85","0.81","381",2022,"hitter"
"94","C
                                                                        Middleton","Grand Junction Jackalopes","42","154","47","32","13","9","-","8","17","36","0.305","0.375","0.519","6","3","-","6","28","42","0.67","176",2022,"hitter"
"95","K
                                                                        Greenwalt","Missoula PaddleHeads","89","348","106","66","30","26","4","8","38","58","0.305","0.365","0.471","7","7","1","7","89","99","0.90","393",2022,"hitter"
"96","J
                                                                        Ajamian","Boise Hawks","7","23","7","8","3","1","-","1","2","4","0.304","0.393","0.478","1","1","-","-","5","8","0.63","28",2022,"hitter"
"96","C
                                                                        Farmer","Grand Junction Jackalopes","37","138","42","25","28","10","-","5","15","36","0.304","0.42","0.486","1","2","-","5","22","34","0.65","169",2022,"hitter"
"98","G
                                                                        Wurtz","Billings Mustangs","91","355","108","81","33","24","4","20","48","103","0.304","0.363","0.563","2","4","-","1","54","85","0.64","394",2022,"hitter"
"99","A
                                                                        Noviello","Missoula PaddleHeads","49","162","49","37","28","11","-","3","14","32","0.302","0.404","0.426","1","2","-","6","35","48","0.73","193",2022,"hitter"
"100","B
                                                                        Crosby","Colorado Springs Sky Sox","76","295","89","62","28","19","6","11","36","91","0.302","0.378","0.519","8","-","-","5","55","49","1.12","331",2022,"hitter"
"101","D
                                                                        Binder","Rocky Mountain Vibes","18","73","22","11","4","5","1","2","8","19","0.301","0.342","0.479","1","1","-","2","11","19","0.58","79",2022,"hitter"
"102","N
                                                                        Marcelo","Glacier Range Riders","13","20","6","1","4","-","-","-","0","9","0.3","0.462","0.3","2","-","-","-","1","4","0.25","26",2022,"hitter"
"102","G
                                                                        Young","Colorado Springs Sky Sox","34","10","3","2","1","1","-","-","1","4","0.3","0.364","0.4","-","-","-","-","2","1","2.00","11",2022,"hitter"
"104","A
                                                                        Mow","Billings Mustangs","35","84","25","19","12","7","1","3","11","15","0.298","0.404","0.512","3","-","-","3","29","14","2.07","99",2022,"hitter"
"105","A
                                                                        Rivero","Ogden Raptors","8","37","11","4","1","3","-","1","4","10","0.297","0.333","0.459","1","-","-","1","6","10","0.60","39",2022,"hitter"
"106","K
                                                                        Elefante","Ogden Raptors","11","27","8","6","4","2","-","-","2","8","0.296","0.375","0.37","-","1","-","1","6","6","1.00","32",2022,"hitter"
"106","T
                                                                        Krabbe","Great Falls Voyagers","16","54","16","13","4","5","-","2","7","12","0.296","0.344","0.5","1","2","-","2","12","15","0.80","61",2022,"hitter"
