"rk","name","team","era","w","l","app","gs","sv","ip","h","r","er","bb","k","k_9","hr","whip","bf","wp","hbp","season","player_type"
"86","L
                                                                        Burkett","Oakland Ballers","6.89","3","1","29","1","2","31.1","23","32","24","31","48","13.79","6","1.72","152","6","6",2026,"pitcher"
"86","A
                                                                        Miranda","RedPocket Mobiles","6.03","2","4","14","3","0","31.1","38","29","21","21","31","8.9","1","1.88","155","3","3",2026,"pitcher"
"88","J
                                                                        Dixon","Long Beach Coast","5.52","2","0","28","0","0","31","42","27","19","18","28","8.13","6","1.94","155","3","2",2026,"pitcher"
"89","A
                                                                        Moreno","Modesto Roadsters","5.4","4","2","25","0","5","30","31","19","18","12","32","9.6","5","1.43","135","1","1",2026,"pitcher"
"90","J
                                                                        Hasty","Glacier Range Riders","6.98","1","0","32","0","1","29.2","28","31","23","32","39","11.83","1","2.02","155","6","7",2026,"pitcher"
"90","R
                                                                        Inouye","Idaho Falls Chukars","6.98","1","1","23","0","3","29.2","32","27","23","20","36","10.92","4","1.75","153","3","13",2026,"pitcher"
"92","C
                                                                        Trout","Boise Hawks","4.97","1","0","34","0","1","29","29","19","16","11","14","4.34","2","1.38","125","2","1",2026,"pitcher"
"93","C
                                                                        Cressend","Glacier Range Riders","6.59","1","3","9","9","0","28.2","41","26","21","12","21","6.59","5","1.85","137","-","1",2026,"pitcher"
"94","M
                                                                        Collins","Idaho Falls Chukars","8.58","2","2","15","0","0","28.1","48","30","27","14","15","4.76","7","2.19","147","5","3",2026,"pitcher"
"94","M
                                                                        Riley","Oakland Ballers","12.07","2","1","12","3","0","28.1","49","39","38","23","31","9.85","9","2.54","152","2","1",2026,"pitcher"
"96","J
                                                                        Betancourt","Billings Mustangs","7.81","2","0","11","3","0","27.2","34","26","24","14","15","4.88","3","1.73","130","-","3",2026,"pitcher"
"97","B
                                                                        Rozakis","RedPocket Mobiles","6.91","1","1","30","0","0","27.1","36","24","21","20","18","5.93","1","2.05","139","5","2",2026,"pitcher"
"98","R
                                                                        Humphreys","Glacier Range Riders","9.91","2","1","16","0","0","26.1","23","30","29","34","27","9.23","-","2.16","134","4","5",2026,"pitcher"
"99","J
                                                                        Berenti","Idaho Falls Chukars","15.92","1","1","12","4","0","26","48","47","46","28","12","4.15","5","2.92","157","8","9",2026,"pitcher"
"99","L
                                                                        Riley","Ogden Raptors","13.15","0","2","23","0","3","26","35","38","38","26","37","12.81","7","2.35","148","3","10",2026,"pitcher"
"101","J
                                                                        Locklear","Boise Hawks","11.72","0","2","13","2","0","25.1","38","35","33","21","19","6.75","5","2.33","140","4","6",2026,"pitcher"
"102","L
                                                                        Hartman","Billings Mustangs","5.4","3","2","20","0","6","25","29","16","15","12","39","14.04","2","1.64","112","4","-",2026,"pitcher"
"102","M
                                                                        Lauria","RedPocket Mobiles","8.64","0","3","5","5","0","25","32","30","24","22","16","5.76","4","2.16","140","7","6",2026,"pitcher"
"104","L
                                                                        Wade","Glacier Range Riders","5.11","2","2","16","0","0","24.2","24","16","14","19","25","9.12","2","1.74","113","2","-",2026,"pitcher"
"105","J
                                                                        Almeda","Billings Mustangs","6","1","0","17","3","0","24","28","17","16","17","23","8.63","3","1.88","119","-","3",2026,"pitcher"
"105","N
                                                                        Ficklin","Ogden Raptors","9.38","1","1","23","0","0","24","39","38","25","27","19","7.13","4","2.75","137","4","5",2026,"pitcher"
"105","C
                                                                        Goffar","Missoula PaddleHeads","10.88","2","0","5","5","0","24","44","29","29","15","7","2.63","3","2.46","121","3","2",2026,"pitcher"
"105","K
                                                                        Kneip","Ogden Raptors","7.13","3","2","24","0","4","24","29","23","19","22","16","6","3","2.13","124","4","2",2026,"pitcher"
"105","T
                                                                        McEvoy","Billings Mustangs","7.88","3","0","5","5","0","24","30","23","21","16","18","6.75","4","1.92","115","-","2",2026,"pitcher"
"105","E
                                                                        Roarke","Modesto Roadsters","6.38","3","0","5","4","0","24","24","17","17","9","22","8.25","1","1.38","102","1","2",2026,"pitcher"
"105","P
                                                                        Sanders","RedPocket Mobiles","12.38","1","1","21","0","0","24","45","35","33","15","21","7.88","4","2.5","132","-","3",2026,"pitcher"
"112","N
                                                                        Naccarato","Billings Mustangs","8.37","0","0","22","0","0","23.2","35","23","22","17","22","8.37","4","2.2","122","8","-",2026,"pitcher"
"113","G
                                                                        Grosjean","Long Beach Coast","6.56","3","2","13","3","0","23.1","29","24","17","11","22","8.49","4","1.71","115","1","4",2026,"pitcher"
"113","J
                                                                        Hughes","Boise Hawks","5.4","1","0","4","4","0","23.1","19","14","14","10","26","10.03","5","1.24","101","1","1",2026,"pitcher"
"115","R
                                                                        Steinman","Missoula PaddleHeads","9.39","2","1","17","0","0","23","28","24","24","13","19","7.43","4","1.78","110","1","1",2026,"pitcher"
"115","C
                                                                        Tremain","Modesto Roadsters","6.65","1","1","23","0","0","23","38","18","17","9","22","8.61","1","2.04","118","1","2",2026,"pitcher"
"117","C
                                                                        Housley","Glacier Range Riders","7.94","1","1","23","0","2","22.2","24","21","20","24","19","7.54","3","2.12","114","2","1",2026,"pitcher"
"117","G
                                                                        Tanner","Oakland Ballers","8.74","2","1","4","4","0","22.2","37","22","22","10","18","7.15","9","2.07","114","1","5",2026,"pitcher"
"119","C
                                                                        Czerwinski","Great Falls Voyagers","16.93","0","4","6","5","0","22.1","48","45","42","20","20","8.06","4","3.04","136","2","4",2026,"pitcher"
"120","C
                                                                        Martinez","RedPocket Mobiles","8.59","0","1","5","4","0","22","27","22","21","21","26","10.64","2","2.18","118","1","8",2026,"pitcher"
"120","J
                                                                        Maruskin","Glacier Range Riders","6.95","0","2","22","0","7","22","19","19","17","18","41","16.77","3","1.68","107","4","3",2026,"pitcher"
"120","C
                                                                        Percival","Long Beach Coast","4.5","2","0","7","4","2","22","24","14","11","6","20","8.18","6","1.36","96","-","-",2026,"pitcher"
"123","L
                                                                        Hokuf","Boise Hawks","10.62","0","0","11","0","0","20.1","25","27","24","15","10","4.43","4","1.97","105","4","5",2026,"pitcher"
"124","R
                                                                        Gutierrez","Missoula PaddleHeads","13.5","1","2","6","5","0","20","39","35","30","16","13","5.85","2","2.75","118","1","2",2026,"pitcher"
"124","R
                                                                        Wentz","Missoula PaddleHeads","6.3","2","1","5","5","0","20","27","14","14","8","27","12.15","2","1.75","94","2","4",2026,"pitcher"
"2","J
                                                                        Abreu","RedPocket Mobiles","11.57","0","2","13","0","1","11.2","14","15","15","18","12","9.26","1","2.74","70","5","4",2026,"pitcher"
