player_name,suggested_full_name,team,season,scout_grade,pa,ops,iso,master_team,position,bats_throws,height,weight,match_status
T DeBonville,NA,Missoula PaddleHeads,2023,51.9728510251717,256,0.903,0.218,NA,NA,NA,NA,NA,manual_needed
K Kaler,NA,Boise Hawks,2024,51.8722674497935,210,0.91,0.134,NA,NA,NA,NA,NA,manual_needed
B Dansereau,NA,Ogden Raptors,2022,51.8411707752714,391,0.98,0.212,NA,NA,NA,NA,NA,manual_needed
C Thompson,NA,Missoula PaddleHeads,2022,51.7285400302537,427,0.889,0.176,NA,NA,NA,NA,NA,manual_needed
C Perez,NA,Missoula PaddleHeads,2025,51.4480743888275,258,0.858,0.166,NA,NA,NA,NA,NA,manual_needed
A Davis,NA,Rocky Mountain Vibes,2024,51.2528607557464,429,0.918,0.172,NA,NA,NA,NA,NA,manual_needed
J Kline,NA,Billings Mustangs,2022,50.8326133508492,248,0.936,0.234,NA,NA,NA,NA,NA,manual_needed
H Hisky,NA,Idaho Falls Chukars,2022,50.7998241168703,450,0.873,0.157,NA,NA,NA,NA,NA,manual_needed
A Bernard,NA,Missoula PaddleHeads,2023,50.7492991369662,226,0.846,0.143,NA,NA,NA,NA,NA,manual_needed
G Morgan,NA,Idaho Falls Chukars,2025,50.6904580628617,222,0.879,0.14,NA,NA,NA,NA,NA,manual_needed
W Little,NA,Idaho Falls Chukars,2021,50.5390845661897,328,0.88,0.115,NA,NA,NA,NA,NA,manual_needed
S Gozzo,NA,Ogden Raptors,2023,50.51408373323,253,0.898,0.132,NA,NA,NA,NA,NA,manual_needed
C Hornung,Carson Hornung,Glacier Range Riders,2026,50.4533180022529,180,0.876,0.151,Glacier Range Riders,INF,L/R,6-3,225,already_in_lookup
S Wilmer,NA,Oakland Ballers,2024,50.2450324675455,357,0.906,0.176,NA,NA,NA,NA,NA,manual_needed
J Guenther,NA,Missoula PaddleHeads,2023,50.2263223503936,393,0.898,0.119,NA,NA,NA,NA,NA,manual_needed
P Mills,Pat Mills,Billings Mustangs,2025,50.2095565964987,331,0.888,0.162,Billings Mustangs,1B/OF,L/L,6’4,205,already_in_lookup
G Lora,NA,Billings Mustangs,2024,49.860335380036,176,0.876,0.148,NA,NA,NA,NA,NA,manual_needed
L Meyer,NA,Boise Hawks,2026,49.7815404969665,195,0.927,0.142,NA,NA,NA,NA,NA,manual_needed
P Parks,NA,Ogden Raptors,2021,49.7481929154307,348,0.893,0.123,NA,NA,NA,NA,NA,manual_needed
E Corona,NA,Great Falls Voyagers,2025,49.7418124260942,302,0.909,0.216,NA,NA,NA,NA,NA,manual_needed
T Cruz,Trey Cruz,Great Falls Voyagers,2025,49.6718919847821,249,0.917,0.174,Great Falls Voyagers,SS/OF,R/R,NA,NA,already_in_lookup
J Raper,NA,Glacier Range Riders,2023,49.4562493999132,407,0.857,0.177,NA,NA,NA,NA,NA,manual_needed
D Ratfield,Donovan Ratfield,Glacier Range Riders,2026,49.1850654655212,183,0.962,0.137,Glacier Range Riders,C,R/R,6-1,210,already_in_lookup
N Ultsch,NA,Boise Hawks,2024,49.0638799600924,414,0.947,0.18,NA,NA,NA,NA,NA,manual_needed
E Smith,NA,Grand Junction Jackalopes,2023,48.9758274555697,133,0.948,0.206,NA,NA,NA,NA,NA,manual_needed
B West,NA,Idaho Falls Chukars,2021,48.9500821592008,123,0.881,0.161,NA,NA,NA,NA,NA,manual_needed
R Mccarthy,NA,Idaho Falls Chukars,2024,48.9344790819832,237,0.901,0.127,NA,NA,NA,NA,NA,manual_needed
E Good,NA,Ogden Raptors,2025,48.7987874880662,413,0.902,0.13,NA,NA,NA,NA,NA,manual_needed
M Wong,NA,Grand Junction Jackalopes,2023,48.7676667279633,248,0.874,0.148,NA,NA,NA,NA,NA,manual_needed
L Helmig,NA,Oakland Ballers,2025,48.7159856401767,314,0.884,0.147,NA,NA,NA,NA,NA,manual_needed
D Harris IV,NA,Oakland Ballers,2025,48.5581418806394,413,0.847,0.163,NA,NA,NA,NA,NA,manual_needed
D Hernandez,NA,Rocky Mountain Vibes,2022,48.4093039387552,273,0.886,0.199,NA,NA,NA,NA,NA,manual_needed
C Dunn Jr.,NA,Rocky Mountain Vibes,2023,48.3807581462087,187,0.91,0.209,NA,NA,NA,NA,NA,manual_needed
D Rivera,NA,Grand Junction Jackalopes,2024,48.1798844016195,245,0.897,0.182,NA,NA,NA,NA,NA,manual_needed
D Stone,NA,Ogden Raptors,2025,48.0218326302472,382,0.997,0.137,NA,NA,NA,NA,NA,manual_needed
A Herron Jr.,NA,Rocky Mountain Vibes,2023,47.9491992766881,268,0.885,0.166,NA,NA,NA,NA,NA,manual_needed
A Sequera,NA,Boise Hawks,2022,47.9259982935001,225,0.944,0.158,NA,NA,NA,NA,NA,manual_needed
K Crowl,NA,Great Falls Voyagers,2021,47.6032996807894,315,0.917,0.089,NA,NA,NA,NA,NA,manual_needed
A Chouinard,NA,Rocky Mountain Vibes,2025,47.5868514186425,220,0.97,0.159,NA,NA,NA,NA,NA,manual_needed
J Begora,Jeremiah Begora,Boise Hawks,2025,47.5773879749526,349,0.9,0.19,Boise Hawks,1b,R/R,6&rsquo;8,235,already_in_lookup
R Narea,NA,Ogden Raptors,2023,47.5441104605612,359,0.847,0.14,NA,NA,NA,NA,NA,manual_needed
M OConnor,NA,Missoula PaddleHeads,2021,47.5049889084075,241,0.818,0.148,NA,NA,NA,NA,NA,manual_needed
T Yukumoto,Ty Yukumoto,Missoula PaddleHeads,2026,47.4897186501258,150,0.916,0.093,Missoula PaddleHeads,2B,L/R,5-8,165,already_in_lookup
A Shaver,A.J. Shaver,Billings Mustangs,2025,47.3601798273261,314,0.88,0.178,Billings Mustangs,OF,R/R,6'1,215,already_in_lookup
T Lozano,NA,Oakland Ballers,2025,47.3534862254381,188,0.816,0.162,NA,NA,NA,NA,NA,manual_needed
J Reyes,NA,Idaho Falls Chukars,2022,47.1044566462646,308,0.932,0.157,NA,NA,NA,NA,NA,manual_needed
N Klemp,Nich Klemp,Boise Hawks,2024,47.1027684660043,294,0.812,0.137,Missoula PaddleHeads,C,R/R,5-11,185,already_in_lookup
R Major,NA,Great Falls Voyagers,2024,47.0586765257951,383,0.902,0.177,NA,NA,NA,NA,NA,manual_needed
G Horvat,NA,RedPocket Mobiles,2026,47.0186528591573,132,1,0.145,NA,NA,NA,NA,NA,manual_needed
L Roskam,NA,Grand Junction Jackalopes,2021,46.8526243813153,252,0.846,0.108,NA,NA,NA,NA,NA,manual_needed
D Connors,NA,Ogden Raptors,2022,46.6145668790346,379,0.856,0.145,NA,NA,NA,NA,NA,manual_needed
C Wilkerson,Colby Wilkerson,Missoula PaddleHeads,2025,46.5011084658737,440,0.858,0.126,Missoula PaddleHeads,2B,S/R,5-10,180,already_in_lookup
A Noviello,NA,Missoula PaddleHeads,2022,46.415676910471,193,0.83,0.124,NA,NA,NA,NA,NA,manual_needed
B Marine,NA,Yuba-Sutter Freebirds,2024,46.2224558118087,381,0.976,0.148,NA,NA,NA,NA,NA,manual_needed
T Halsema,NA,Idaho Falls Chukars,2023,46.2126683075759,405,0.858,0.148,NA,NA,NA,NA,NA,manual_needed
E Underwood,Ethan Underwood,Boise Hawks,2025,45.8667271093103,392,0.916,0.116,Boise Hawks,Utility,L/R,6&rsquo;0,200,already_in_lookup
T Specht,Tommy Specht,Great Falls Voyagers,2025,45.793500374622,419,0.836,0.162,Great Falls Voyagers,OF,L/R,NA,NA,already_in_lookup
D Maberry,NA,Ogden Raptors,2021,45.7576916846393,214,0.993,0.112,NA,NA,NA,NA,NA,manual_needed
M Herron Jr.,NA,Rocky Mountain Vibes,2023,45.7324915982378,352,0.837,0.183,NA,NA,NA,NA,NA,manual_needed
P Coddou,NA,Yuba-Sutter Freebirds,2025,45.682936610364,306,0.881,0.112,NA,NA,NA,NA,NA,manual_needed
R Jepson,NA,Great Falls Voyagers,2023,45.5547246841112,385,0.954,0.115,NA,NA,NA,NA,NA,manual_needed
H Hall,NA,Great Falls Voyagers,2024,45.5300982724544,271,0.889,0.181,NA,NA,NA,NA,NA,manual_needed
J Feliciano,Joskar Feliciano,Missoula PaddleHeads,2026,45.215054495269,113,0.903,0.103,Missoula PaddleHeads,C,R/R,6-2,220,already_in_lookup
G Bevacqua,Garrett Bevacqua,Ogden Raptors,2026,45.1089180986974,138,1.007,0.107,Ogden Raptors,OF,L/R,6'3,195,already_in_lookup
T Minder,NA,Boise Hawks,2023,45.0160594259888,381,0.829,0.143,NA,NA,NA,NA,NA,manual_needed
R Gonzalez,NA,Idaho Falls Chukars,2024,44.9772181424127,151,1.103,0.144,NA,NA,NA,NA,NA,manual_needed
D Aragon,Diego Aragon,Yuba-Sutter Freebirds,2026,44.7596355734833,129,0.831,0.111,Yuba-Sutter Freebirds,Catcher,R/R,NA,NA,already_in_lookup
D Wilkinson,Dylan Wilkinson,Ogden Raptors,2025,44.6861482766019,236,0.866,0.109,Ogden Raptors,INF,L/R,5'10,185,already_in_lookup
J Matthews,NA,Great Falls Voyagers,2021,44.6424438952851,268,0.862,0.09,NA,NA,NA,NA,NA,manual_needed
S Cullen,NA,Idaho Falls Chukars,2023,44.6373289937442,206,0.811,0.159,NA,NA,NA,NA,NA,manual_needed
D Jackson,Darryl Jackson,Boise Hawks,2026,44.0992943399213,184,0.808,0.131,Boise Hawks,Infield,R/R,5&rsquo;10,190,already_in_lookup
T Hardy,NA,Idaho Falls Chukars,2024,44.082817612997,101,0.95,0.143,NA,NA,NA,NA,NA,manual_needed
K Willman,NA,Missoula PaddleHeads,2022,43.9390748662694,298,0.868,0.147,NA,NA,NA,NA,NA,manual_needed
B Crosby,NA,Rocky Mountain Vibes,2023,43.9372465517203,334,0.875,0.145,NA,NA,NA,NA,NA,manual_needed
S Barmakian,NA,Idaho Falls Chukars,2022,43.7802939586758,448,0.878,0.13,NA,NA,NA,NA,NA,manual_needed
B Hueth,NA,Idaho Falls Chukars,2022,43.7608393781147,291,0.841,0.13,NA,NA,NA,NA,NA,manual_needed
C Lopez,NA,Rocky Mountain Vibes,2022,43.7078248249863,278,0.865,0.119,NA,NA,NA,NA,NA,manual_needed
M Harris,NA,Boise Hawks,2021,43.66739608267,185,0.691,0.113,NA,NA,NA,NA,NA,manual_needed
R Shah,NA,Ogden Raptors,2021,43.578406430091,243,0.886,0.099,NA,NA,NA,NA,NA,manual_needed
C Lane,Carmine Lane,Ogden Raptors,2025,43.2350183033993,447,0.904,0.139,Ogden Raptors,INF,R/R,6'1,211,already_in_lookup
B Brown,NA,Idaho Falls Chukars,2023,43.1861136262094,274,0.958,0.142,NA,NA,NA,NA,NA,manual_needed
T Clark,NA,Oakland Ballers,2024,43.1601318532282,160,0.863,0.145,NA,NA,NA,NA,NA,manual_needed
T Lomack,NA,Billings Mustangs,2023,43.0259269965314,400,0.845,0.148,NA,NA,NA,NA,NA,manual_needed
A Ray,NA,Grand Junction Jackalopes,2023,42.9963236280242,250,0.844,0.13,NA,NA,NA,NA,NA,manual_needed
G Lyttle,NA,Great Falls Voyagers,2021,42.9924699350824,122,0.853,0.061,NA,NA,NA,NA,NA,manual_needed
C Bowen,Cameron Bowen,Billings Mustangs,2025,42.9333967635621,423,0.874,0.152,Billings Mustangs,SS,R/R,5'9,200,already_in_lookup
C Phelts,NA,Ogden Raptors,2023,42.8920352523861,392,0.874,0.121,NA,NA,NA,NA,NA,manual_needed
B Skinner,NA,Yuba-Sutter Freebirds,2024,42.8320249328094,416,0.803,0.126,NA,NA,NA,NA,NA,manual_needed
A Mata,NA,Idaho Falls Chukars,2025,42.7826867151636,309,0.893,0.154,NA,NA,NA,NA,NA,manual_needed
D Williams,NA,Grand Junction Jackalopes,2023,42.7303443687018,112,0.802,0.119,NA,NA,NA,NA,NA,manual_needed
H Yanez,NA,Great Falls Voyagers,2024,42.6602618971183,170,0.868,0.142,NA,NA,NA,NA,NA,manual_needed
J Shanks,NA,Idaho Falls Chukars,2024,42.1786553801148,196,0.869,0.162,NA,NA,NA,NA,NA,manual_needed
C Dunn,NA,Glacier Range Riders,2022,41.9790888256882,178,0.874,0.139,NA,NA,NA,NA,NA,manual_needed
M Jefferson,NA,Oakland Ballers,2024,41.9421087006351,168,0.84,0.115,NA,NA,NA,NA,NA,manual_needed
T Garcia,NA,Rocky Mountain Vibes,2025,41.8850521491144,335,0.939,0.119,NA,NA,NA,NA,NA,manual_needed
D Conners,NA,Ogden Raptors,2023,41.7879128118029,402,0.815,0.114,NA,NA,NA,NA,NA,manual_needed
P Adams,NA,Ogden Raptors,2022,41.751410019171,393,0.851,0.089,NA,NA,NA,NA,NA,manual_needed
C Vaughan,Casey Vaughan,Idaho Falls Chukars,2026,41.5131642114397,151,0.872,0.111,Idaho Falls Chukars,INF,S/R,6'3,200,already_in_lookup
C Comer,NA,Billings Mustangs,2021,41.4171021564733,199,0.689,0.102,NA,NA,NA,NA,NA,manual_needed
G DiGiacomo,NA,Missoula PaddleHeads,2023,41.3408931889517,140,0.85,0.092,NA,NA,NA,NA,NA,manual_needed
E Acosta,NA,Idaho Falls Chukars,2023,41.3208342792702,260,0.834,0.086,NA,NA,NA,NA,NA,manual_needed
T Fontenot,NA,Ogden Raptors,2025,41.1943105332778,426,0.907,0.159,NA,NA,NA,NA,NA,manual_needed
J McHenry,John McHenry,Billings Mustangs,2025,41.1055464093198,214,0.848,0.121,Billings Mustangs,INF,S/R,5’9,200,already_in_lookup
B Evans,NA,Billings Mustangs,2023,40.8256697698261,113,0.787,0.125,NA,NA,NA,NA,NA,manual_needed
M Annone,NA,Rocky Mountain Vibes,2022,40.5945883276093,252,0.831,0.127,NA,NA,NA,NA,NA,manual_needed
J Barth,NA,Billings Mustangs,2022,40.4775783860668,274,0.744,0.112,NA,NA,NA,NA,NA,manual_needed
K Jimenez,NA,Colorado Springs Sky Sox,2024,40.4240230021677,392,0.847,0.125,NA,NA,NA,NA,NA,manual_needed
S Jabusch,NA,Great Falls Voyagers,2021,40.299984450203,425,0.739,0.075,NA,NA,NA,NA,NA,manual_needed
J Azuaje,NA,Billings Mustangs,2021,40.1323750824156,264,0.694,0.026,NA,NA,NA,NA,NA,manual_needed
R Cash,NA,Glacier Range Riders,2022,39.9906927476528,386,0.803,0.073,NA,NA,NA,NA,NA,manual_needed
S Olsson,NA,Boise Hawks,2023,39.9277505560029,134,0.959,0.092,NA,NA,NA,NA,NA,manual_needed
J Garcia,Julian Garcia,Billings Mustangs,2021,39.903813867798704,381,0.855,0.112,Billings Mustangs,RHP,R/R,6'4,205,already_in_lookup
E Yake,NA,Rocky Mountain Vibes,2024,39.7157186186686,405,0.913,0.103,NA,NA,NA,NA,NA,manual_needed
A Hanson,NA,Rocky Mountain Vibes,2022,39.7133779381261,221,0.811,0.158,NA,NA,NA,NA,NA,manual_needed
J McMurray,NA,Rocky Mountain Vibes,2023,39.6631485539875,239,1.032,0.068,NA,NA,NA,NA,NA,manual_needed
C Hanson,NA,Billings Mustangs,2025,39.530999730059,164,0.799,0.093,NA,NA,NA,NA,NA,manual_needed
E Rosales,NA,Rocky Mountain Vibes,2021,39.1817084464519,303,0.727,0.1,NA,NA,NA,NA,NA,manual_needed
G Kueber,NA,Rocky Mountain Vibes,2025,38.9071897539063,359,0.828,0.101,NA,NA,NA,NA,NA,manual_needed
M Golda,NA,Grand Junction Jackalopes,2023,38.7999563686053,199,0.798,0.103,NA,NA,NA,NA,NA,manual_needed
J Duarte,Josh Duarte,Yuba-Sutter Freebirds,2025,38.794320342678,171,0.781,0.062,Yuba-Sutter Freebirds,OF,R/R,NA,NA,already_in_lookup
B Riley,NA,Missoula PaddleHeads,2021,38.7103098365476,372,0.786,0.047,NA,NA,NA,NA,NA,manual_needed
O Serratos Jr.,NA,Great Falls Voyagers,2024,38.698111584628,243,0.868,0.149,NA,NA,NA,NA,NA,manual_needed
C Booth,NA,Rocky Mountain Vibes,2025,38.6699445925809,449,0.884,0.129,NA,NA,NA,NA,NA,manual_needed
M Dinesen,NA,Glacier Range Riders,2023,38.6340899210347,335,0.819,0.158,NA,NA,NA,NA,NA,manual_needed
P Myro IV,NA,Boise Hawks,2025,38.6063630382384,402,0.914,0.12,NA,NA,NA,NA,NA,manual_needed
E Peralta,NA,Rocky Mountain Vibes,2023,38.5665495730338,355,0.856,0.142,NA,NA,NA,NA,NA,manual_needed
O Taylor,NA,Ogden Raptors,2021,38.521951835626,217,0.773,0.066,NA,NA,NA,NA,NA,manual_needed
T Lewis,NA,Ogden Raptors,2022,38.4797692251015,289,0.814,0.15,NA,NA,NA,NA,NA,manual_needed
J Olson,NA,Great Falls Voyagers,2021,38.192432624328,299,0.825,0.098,NA,NA,NA,NA,NA,manual_needed
P Shelton,NA,Grand Junction Jackalopes,2025,38.1498339901338,158,0.804,0.101,NA,NA,NA,NA,NA,manual_needed
K Maldonado,NA,Grand Junction Jackalopes,2021,37.8955581335237,1108,0.776,0.088,NA,NA,NA,NA,NA,manual_needed
A Amicangelo,NA,Billings Mustangs,2021,37.8712645408027,304,0.877,0.054,NA,NA,NA,NA,NA,manual_needed
Z Zurbrugg,NA,Great Falls Voyagers,2021,37.8583962718148,105,0.692,0,NA,NA,NA,NA,NA,manual_needed
F Jezioro,NA,Grand Junction Jackalopes,2021,37.8375972779206,135,0.968,0.119,NA,NA,NA,NA,NA,manual_needed
M Deeb,NA,Great Falls Voyagers,2021,37.7442065328343,339,0.765,0.097,NA,NA,NA,NA,NA,manual_needed
N Popa,NA,Grand Junction Jackalopes,2022,37.6687464079184,433,0.975,0.12,NA,NA,NA,NA,NA,manual_needed
N Scantlin,NA,Grand Junction Jackalopes,2021,37.6452345017772,275,0.862,0.064,NA,NA,NA,NA,NA,manual_needed
B Broussard,NA,Billings Mustangs,2021,37.5903719277154,262,0.6,0.055,NA,NA,NA,NA,NA,manual_needed
E Pagani,Edwin Pagani,Yuba-Sutter Freebirds,2026,37.4567538833529,125,0.748,0.082,Yuba-Sutter Freebirds,Infield,R/R,NA,NA,already_in_lookup
J Gutierrez,Jacob Gutierrez,Grand Junction Jackalopes,2021,37.1151524688432,240,0.777,0.095,Billings Mustangs,OF,R/R,6’0,210,already_in_lookup
D Kolbush,NA,Great Falls Voyagers,2022,37.0355058320497,306,0.815,0.121,NA,NA,NA,NA,NA,manual_needed
E McCabe,NA,Glacier Range Riders,2022,36.6136030908661,321,0.823,0.096,NA,NA,NA,NA,NA,manual_needed
A Meggs,NA,Grand Junction Jackalopes,2023,36.552570228901,223,0.76,0.067,NA,NA,NA,NA,NA,manual_needed
P Harden,NA,Oakland Ballers,2024,35.9048958212867,365,0.825,0.097,NA,NA,NA,NA,NA,manual_needed
B McConnell,NA,Glacier Range Riders,2022,35.4255358321004,430,0.745,0.083,NA,NA,NA,NA,NA,manual_needed
A Adams,NA,Rocky Mountain Vibes,2025,35.2387499627312,150,0.835,0.092,NA,NA,NA,NA,NA,manual_needed
C Horner,NA,Ogden Raptors,2023,35.1992912124452,209,0.742,0.108,NA,NA,NA,NA,NA,manual_needed
T Jorgensen,NA,Boise Hawks,2022,34.6152180655578,460,0.762,0.103,NA,NA,NA,NA,NA,manual_needed
M Miller,Max Miller,Boise Hawks,2021,34.5142031393219,367,0.777,0.055,Ogden Raptors,RHP,R/R,6'2,220,already_in_lookup
E Sanchez,NA,Billings Mustangs,2023,34.4761632487099,132,0.764,0.094,NA,NA,NA,NA,NA,manual_needed
P Howard,NA,Ogden Raptors,2024,34.4639781343798,426,0.875,0.11,NA,NA,NA,NA,NA,manual_needed
N Emanuel,NA,Great Falls Voyagers,2021,34.4636234194613,121,0.655,0,NA,NA,NA,NA,NA,manual_needed
G Diaz,NA,Rocky Mountain Vibes,2022,34.0630758301305,419,0.909,0.069,NA,NA,NA,NA,NA,manual_needed
J Lee,NA,Boise Hawks,2025,34.04699761009,124,0.822,0.139,NA,NA,NA,NA,NA,manual_needed
M Sykes,NA,Rocky Mountain Vibes,2024,33.8565463532296,181,0.798,0.12,NA,NA,NA,NA,NA,manual_needed
C Monroe,NA,Great Falls Voyagers,2022,33.5114481502949,181,0.749,0.121,NA,NA,NA,NA,NA,manual_needed
E Diaz,NA,Colorado Springs Sky Sox,2023,33.3020809540459,323,0.846,0.101,NA,NA,NA,NA,NA,manual_needed
K Whatley,NA,Missoula PaddleHeads,2022,33.0141794369207,149,0.814,0.136,NA,NA,NA,NA,NA,manual_needed
A Nielsen,NA,Grand Junction Jackalopes,2022,32.9858394666109,295,0.764,0.072,NA,NA,NA,NA,NA,manual_needed
D Cornett,NA,Billings Mustangs,2021,32.7548762627003,106,0.61,0.031,NA,NA,NA,NA,NA,manual_needed
J Anderson,NA,Grand Junction Jackalopes,2021,32.6817020783703,188,0.709,0.036,NA,NA,NA,NA,NA,manual_needed
M Edie,NA,Billings Mustangs,2023,32.6356110349476,283,0.85,0.135,NA,NA,NA,NA,NA,manual_needed
B Donovan,NA,Billings Mustangs,2023,32.6147332155159,164,0.747,0.114,NA,NA,NA,NA,NA,manual_needed
A Elder,NA,Grand Junction Jackalopes,2021,32.4701737486364,185,0.616,0.018,NA,NA,NA,NA,NA,manual_needed
C Gallardo,Cameron Gallardo,Rocky Mountain Vibes,2021,31.7489419769963,194,0.576,0.018,Missoula PaddleHeads,P,R/R,6-2,210,already_in_lookup
T Van Marter,NA,Idaho Falls Chukars,2021,31.4126284422902,208,0.713,0.016,NA,NA,NA,NA,NA,manual_needed
B Parr,NA,Billings Mustangs,2021,30.6791458683722,124,0.728,0.051,NA,NA,NA,NA,NA,manual_needed
L Barns,NA,Ogden Raptors,2024,30.5562787514779,360,0.759,0.076,NA,NA,NA,NA,NA,manual_needed
F Achecar,NA,Billings Mustangs,2021,30.4755044715793,197,0.703,0.051,NA,NA,NA,NA,NA,manual_needed
N Michaels,NA,Ogden Raptors,2021,30.4608604384006,284,0.81,0.0580000000000001,NA,NA,NA,NA,NA,manual_needed
A Armstrong,NA,Ogden Raptors,2021,30.1779665325015,192,0.637,0.017,NA,NA,NA,NA,NA,manual_needed
A Don,NA,Idaho Falls Chukars,2021,30.0081062577003,287,0.691,0.047,NA,NA,NA,NA,NA,manual_needed
A Buendia,NA,Rocky Mountain Vibes,2021,29.9680869702591,112,0.688,0.029,NA,NA,NA,NA,NA,manual_needed
N Pacheco,NA,Ogden Raptors,2021,29.6731962554804,108,0.699,0.032,NA,NA,NA,NA,NA,manual_needed
M Skundrich,NA,Billings Mustangs,2021,29.1823124106393,248,0.629,0.041,NA,NA,NA,NA,NA,manual_needed
K Higgins,NA,Colorado Springs Sky Sox,2022,28.5251876969247,352,0.815,0.084,NA,NA,NA,NA,NA,manual_needed
S Troyer,NA,Idaho Falls Chukars,2023,28.0626087888212,263,0.767,0.075,NA,NA,NA,NA,NA,manual_needed
J Malec,NA,Great Falls Voyagers,2022,27.7959332372513,396,0.736,0.096,NA,NA,NA,NA,NA,manual_needed
T Brunson,NA,Great Falls Voyagers,2021,27.136899193852,127,0.682,0.052,NA,NA,NA,NA,NA,manual_needed
H Himrich,NA,Rocky Mountain Vibes,2025,27.0405568703079,119,0.814,0.116,NA,NA,NA,NA,NA,manual_needed
M O'Hara,NA,Oakland Ballers,2025,26.6921414260058,121,0.824,0.1,NA,NA,NA,NA,NA,manual_needed
G Barnes,NA,Rocky Mountain Vibes,2021,26.6125451499723,249,0.695,0.038,NA,NA,NA,NA,NA,manual_needed
J Esparza,NA,Rocky Mountain Vibes,2021,26.4109335107686,259,0.59,0.059,NA,NA,NA,NA,NA,manual_needed
B Perez,NA,Rocky Mountain Vibes,2021,25.221806486444,303,0.58,0.031,NA,NA,NA,NA,NA,manual_needed
Q Alexander,NA,Great Falls Voyagers,2021,25.1485863205505,239,0.637,0,NA,NA,NA,NA,NA,manual_needed
A Monge,NA,Grand Junction Jackalopes,2021,24.2274529859497,158,0.61,0,NA,NA,NA,NA,NA,manual_needed
A Nunez,NA,Rocky Mountain Vibes,2021,22.1488104259327,233,0.612,0.013,NA,NA,NA,NA,NA,manual_needed
G White,NA,Boise Hawks,2021,20,127,0.594,0,NA,NA,NA,NA,NA,manual_needed
