"player_name","team","season","pa","ops","iso","scout_grade","signing_probability","signed_by_mlb_org"
"A Nielsen","Grand Junction Jackalopes",2022,295,0.764,0.072,32.5938939724913,0.0243838588992859,0
"C Thompson","Missoula PaddleHeads",2022,427,0.889,0.176,50.7087971736997,0.023974246123774,0
"R McCarthy","Glacier Range Riders",2024,144,1.16,0.288,69.8608530860646,0.0238883572847733,1
"T Clarkson","Glacier Range Riders",2025,435,0.891,0.187,58.5647773368172,0.0238377057286695,0
"J Collura","Oakland Ballers",2026,222,0.949,0.18,61.1483750981441,0.0238103511614538,0
"E Lopez","Rocky Mountain Vibes",2023,335,0.983,0.212,60.7024779742423,0.0237051251156654,0
"A Noviello","Missoula PaddleHeads",2022,193,0.83,0.124,45.6263350225922,0.0235838316394751,0
"S Cullen","Idaho Falls Chukars",2023,206,0.811,0.159,43.9157183322849,0.0234758151136799,0
"J Barfield","Rocky Mountain Vibes",2023,349,1.131,0.325,72.2861498648788,0.0233157867553957,0
"S Greico","Ogden Raptors",2026,187,1.108,0.325,66.808859342486,0.0232421485401657,0
"M Jefferson","Oakland Ballers",2024,168,0.84,0.115,41.0747794200054,0.0231819168429726,0
"A Bernard","Missoula PaddleHeads",2023,226,0.846,0.143,50.1379108925196,0.0228683701137787,0
"T DeBonville","Missoula PaddleHeads",2023,256,0.903,0.218,51.3451943663217,0.0225766542958886,0
"G Diaz","Rocky Mountain Vibes",2022,419,0.909,0.069,33.7139414777789,0.0223974006866232,0
"M Rosario","Missoula PaddleHeads",2025,415,1.014,0.201,54.7690614424683,0.0223814715499741,0
"D Aragon","Yuba-Sutter Freebirds",2026,164,0.889,0.139,48.2106863341987,0.0221989808129853,0
"C Jordan","Ogden Raptors",2025,437,0.945,0.174,54.6304465613211,0.0221747130291531,0
"B Skinner","Yuba-Sutter Freebirds",2024,416,0.803,0.126,41.8383134414949,0.022123575167824,0
"D Brutcher","Ogden Raptors",2024,152,1.085,0.242,68.3810039744715,0.0217510684774759,0
"A Herron Jr.","Rocky Mountain Vibes",2023,268,0.885,0.166,47.0901069737632,0.0217040417418583,0
"E McCabe","Glacier Range Riders",2022,321,0.823,0.096,36.0716798627082,0.0216580628309924,0
"T Lozano","Oakland Ballers",2025,188,0.816,0.162,46.694435521472,0.021638188011451,0
"P Adams","Ogden Raptors",2022,393,0.851,0.089,41.5103037697605,0.0216057251125121,0
"C Halvorson","Grand Junction Jackalopes",2024,274,0.948,0.245,66.0294048393454,0.0215706804775936,0
"G Ostrander","Idaho Falls Chukars",2025,384,1.018,0.169,59.0141896075682,0.021501049553885,0
"B McConnell","Glacier Range Riders",2022,430,0.745,0.083,34.9515726702697,0.0213044355196937,0
"C Farmer","Grand Junction Jackalopes",2022,169,0.906,0.182,55.9261938535984,0.0213016169345579,0
"M Wong","Grand Junction Jackalopes",2023,248,0.874,0.148,47.7185082198533,0.0212535426622121,0
"T Yukumoto","Missoula PaddleHeads",2026,216,0.95,0.118,50.4693973407918,0.021130596641478,0
"C Bowen","Billings Mustangs",2025,423,0.874,0.152,42.1252913945357,0.0211053951865475,0
"B Donovan","Billings Mustangs",2023,164,0.747,0.114,32.2353330062501,0.0208532137001997,0
"P Mills","Billings Mustangs",2025,331,0.888,0.162,49.3656486910581,0.0207993981905883,0
"C Lane","Ogden Raptors",2025,447,0.904,0.139,42.2951940669977,0.0206706753732665,0
"C Gordon","Missoula PaddleHeads",2025,431,0.904,0.179,55.1449114314625,0.020579940817376,0
"M Minzey","Grand Junction Jackalopes",2025,396,1.075,0.309,73.2018413557098,0.0203109624150708,0
"C Dunn","Glacier Range Riders",2022,178,0.874,0.139,41.0681147101062,0.0202195475873215,0
"C Monroe","Great Falls Voyagers",2022,181,0.749,0.121,33.0433648645511,0.0200811065467953,0
"C Dunn Jr.","Rocky Mountain Vibes",2023,187,0.91,0.209,47.2161097467643,0.0199371018586621,0
"S Olsson","Boise Hawks",2023,134,0.959,0.092,39.4056016000278,0.0197418379596639,0
"T Ganus","Ogden Raptors",2026,111,0.809,0.096,37.0121798914593,0.0194780687498308,0
"T Bouchard","Colorado Springs Sky Sox",2023,316,0.895,0.186,51.8119265692431,0.0192960693918773,0
"B Evans","Billings Mustangs",2023,113,0.787,0.125,39.9560045300416,0.0192797184255419,0
"K Micklus","Billings Mustangs",2026,172,1.095,0.285,74.4575140553914,0.0192064691821559,0
"T Cruz","Great Falls Voyagers",2026,262,1.23,0.352,80,0.0191990492106875,0
"K Jimenez","Colorado Springs Sky Sox",2024,392,0.847,0.125,39.5944048483162,0.0191861060393596,0
"Q Landis","Colorado Springs Sky Sox",2025,323,0.958,0.161,59.3325779237516,0.019170736804598,0
"K Clark","Rocky Mountain Vibes",2025,289,1.099,0.251,66.0235608277706,0.0191187517084553,0
"H Yanez","Great Falls Voyagers",2024,170,0.868,0.142,41.6809599925022,0.0190473799435041,0
"G Kueber","Rocky Mountain Vibes",2025,359,0.828,0.101,38.5351380477644,0.0190010956208802,0
"J Feliciano","Missoula PaddleHeads",2026,113,0.903,0.103,44.9632715294795,0.0188146634708253,0
"R Alexiades","Ogden Raptors",2023,443,1.104,0.345,78.0865066839039,0.0187988767353794,0
"G White","Boise Hawks",2021,127,0.594,0,20,0.0185854707748345,0
"S Ullian","Ogden Raptors",2022,233,0.991,0.255,57.923398398782,0.0185801258019458,0
"D Jimerson","Oakland Ballers",2026,102,1.167,0.272,65.0985794582442,0.0184398868098161,0
"E Scavotto","Grand Junction Jackalopes",2025,465,1.084,0.246,67.7924417698995,0.018418752754657,0
"B Watkins","Great Falls Voyagers",2025,121,1.014,0.192,53.6122146769887,0.0183747225362406,0
"E Underwood","Boise Hawks",2025,392,0.916,0.116,45.2330723731752,0.0183554242616378,0
"D Matthews","Colorado Springs Sky Sox",2024,406,1.089,0.247,70.4241313871935,0.0182401481421482,0
"J Kalafut","Boise Hawks",2026,266,1.044,0.156,57.9827647312107,0.0180765195900146,0
"Z Denton","Colorado Springs Sky Sox",2025,228,0.973,0.224,58.9425405121651,0.0180467541271514,0
"D Miller","Glacier Range Riders",2023,431,1.019,0.211,59.1288891263743,0.0180316578674463,0
"M Annone","Rocky Mountain Vibes",2022,252,0.831,0.127,40.005240034453,0.0180302319481266,0
"G Bevacqua","Ogden Raptors",2026,164,0.969,0.096,40.4054402493161,0.0180226725716665,0
"J Johnson","Grand Junction Jackalopes",2023,490,1.091,0.265,69.1789913379555,0.0180060847119457,0
"C Taylor","Glacier Range Riders",2023,299,0.937,0.209,60.1033106419721,0.017907300198403,0
"F Rojas Jr.","Great Falls Voyagers",2024,364,0.934,0.184,56.9213044278646,0.0178955354315686,0
"G DiGiacomo","Missoula PaddleHeads",2023,140,0.85,0.092,41.1701637504549,0.0178070325234329,0
"R Mccarthy","Idaho Falls Chukars",2024,237,0.901,0.127,48.3613985218157,0.0176312577400464,1
"D Rivera","Grand Junction Jackalopes",2024,245,0.897,0.182,47.4906589164796,0.0175146956494695,0
"T McKenzie","Oakland Ballers",2025,389,0.904,0.212,55.9898310148398,0.0173917902966905,0
"J Day","Rocky Mountain Vibes",2024,425,1.023,0.237,63.4482627779398,0.017297944429807,0
"H Hall","Great Falls Voyagers",2024,271,0.889,0.181,44.8020128354731,0.0170581885465619,0
"G Howell","Glacier Range Riders",2023,455,0.936,0.219,63.822069547859,0.0170028454347392,0
"J Chavez","RedPocket Mobiles",2026,215,0.963,0.212,60.7963232288731,0.0169909992936196,0
"L Williams","Ogden Raptors",2023,360,0.957,0.218,60.041493938832,0.0169703841264297,0
"A Adams","Rocky Mountain Vibes",2025,150,0.835,0.092,34.9401233957235,0.0164925522580048,0
"D Conners","Ogden Raptors",2023,402,0.815,0.114,40.9545876174778,0.0164011357427247,0
"T Lomack","Billings Mustangs",2023,400,0.845,0.148,42.250550209835,0.0162896635227421,0
"J Reyes","Idaho Falls Chukars",2022,308,0.932,0.157,46.1789410479781,0.0162484878174708,0
"J Cone","Ogden Raptors",2024,422,0.958,0.187,54.6003951467028,0.0162150040756674,0
"C Castillo","Glacier Range Riders",2024,376,0.987,0.213,53.4037690268559,0.0162040254842004,0
"A Chouinard","Rocky Mountain Vibes",2025,220,0.97,0.159,46.750106579757,0.0161224631750826,0
"A Atwood","Great Falls Voyagers",2022,107,0.933,0.185,54.5477745281638,0.0160069929941576,1
"T Minder","Boise Hawks",2023,381,0.829,0.143,44.0813086080969,0.01572269507383,0
"E Acosta","Idaho Falls Chukars",2023,260,0.834,0.086,40.6579915064118,0.0155777051442658,0
"E Diaz","Colorado Springs Sky Sox",2023,323,0.846,0.101,33.011197753603,0.0153242576348837,0
"K Schmack","Great Falls Voyagers",2026,289,1.073,0.28,70.5030687100539,0.0152571300915617,0
"D Glancy","Yuba-Sutter Freebirds",2024,123,0.92,0.192,60.7458790596567,0.0151532634888251,0
"C Lawrence","Ogden Raptors",2026,288,1.211,0.347,71.4076530616142,0.0149952976423887,0
"B Carson","Oakland Ballers",2024,413,0.931,0.197,54.657102203392,0.0149208962797313,0
"M Handron","Modesto Roadsters",2026,228,1.131,0.271,73.7725890774326,0.0148315111688917,0
"J O'Dowd","Billings Mustangs",2025,395,1.091,0.309,74.4239538889758,0.0146321980746919,0
