rk,name,team,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k_9,hr,whip,bf,wp,hbp,season,player_type,ip_raw,bb_9,hr_9,h_9,k_bb,k_pct,bb_pct,k_minus_bb_pct,gs_pct,league_era,league_fip_component,fip_constant,fip
41,J Harris,Billings Mustangs,6.15,4,3,10,10,0,52.666666666666664,53,39,36,37,52,8.89,6,1.71,246,4,3,2026,pitcher,52.2,6.322784810126582,1.0253164556962027,9.056962025316457,1.4054054054054055,0.21138211382113822,0.15040650406504066,0.06097560975609756,1,7.548464236369433,2.4978212349877777,5.050643001381656,6.835453127963934
42,D Hankins,Billings Mustangs,7.94,3,4,14,10,0,51,64,49,45,37,39,6.88,7,1.98,256,4,8,2026,pitcher,51,6.529411764705882,1.2352941176470589,11.294117647058824,1.054054054054054,0.15234375,0.14453125,0.0078125,0.7142857142857143,7.548464236369433,2.4978212349877777,5.050643001381656,7.952603785695381
42,L Smiddy,Great Falls Voyagers,7.24,5,3,24,2,1,51,74,49,41,34,45,7.94,6,2.12,262,5,6,2026,pitcher,51,6,1.0588235294117647,13.058823529411764,1.3235294117647058,0.1717557251908397,0.1297709923664122,0.041984732824427495,0.08333333333333333,7.548464236369433,2.4978212349877777,5.050643001381656,7.1682900602051856
44,R Radkey,Boise Hawks,7.08,4,1,10,9,0,48.333333333333336,52,44,38,34,37,6.89,6,1.78,226,2,3,2026,pitcher,48.1,6.3310344827586205,1.1172413793103448,9.682758620689654,1.088235294117647,0.16371681415929204,0.1504424778761062,0.013274336283185834,0.9,7.548464236369433,2.4978212349877777,5.050643001381656,7.429953346209242
45,J Giblin,Glacier Range Riders,6,3,3,12,10,0,48,58,35,32,26,50,9.38,4,1.75,224,2,1,2026,pitcher,48,4.875,0.75,10.875,1.9230769230769231,0.22321428571428573,0.11607142857142858,0.10714285714285715,0.8333333333333334,7.548464236369433,2.4978212349877777,5.050643001381656,5.738143001381656
45,G Smith,Oakland Ballers,9.38,2,6,10,9,0,48,71,58,50,18,32,6,23,1.85,231,1,2,2026,pitcher,48,3.375,4.3125,13.3125,1.7777777777777777,0.13852813852813853,0.07792207792207792,0.06060606060606061,0.9,7.548464236369433,2.4978212349877777,5.050643001381656,11.196476334714989
47,H Boncal,Billings Mustangs,8.31,2,3,14,10,0,47.666666666666664,68,49,44,36,56,10.57,9,2.18,241,3,4,2026,pitcher,47.2,6.7972027972027975,1.6993006993006994,12.83916083916084,1.5555555555555556,0.23236514522821577,0.14937759336099585,0.08298755186721993,0.7142857142857143,7.548464236369433,2.4978212349877777,5.050643001381656,7.673020623759278
48,S Wiese,Yuba-Sutter Freebirds,6.17,2,0,38,0,0,46.666666666666664,57,36,32,14,27,5.21,10,1.52,216,1,6,2026,pitcher,46.2,2.7,1.9285714285714286,10.992857142857144,1.9285714285714286,0.125,0.06481481481481481,0.06018518518518519,0,7.548464236369433,2.4978212349877777,5.050643001381656,7.96492871566737
48,T Wolf,Yuba-Sutter Freebirds,5.79,3,3,40,0,7,46.666666666666664,42,32,30,41,49,9.45,5,1.78,222,5,2,2026,pitcher,46.2,7.9071428571428575,0.9642857142857143,8.1,1.1951219512195121,0.22072072072072071,0.18468468468468469,0.03603603603603603,0,7.548464236369433,2.4978212349877777,5.050643001381656,7.1077858585245135
50,C Dayton,Boise Hawks,6.41,4,1,8,8,0,46.333333333333336,60,43,33,20,27,5.24,6,1.73,218,2,3,2026,pitcher,46.1,3.884892086330935,1.1654676258992804,11.654676258992804,1.35,0.12385321100917432,0.09174311926605505,0.03211009174311927,1,7.548464236369433,2.4978212349877777,5.050643001381656,7.057837245985972
51,C Bunch,Ogden Raptors,8.22,2,3,10,10,0,46,76,49,42,16,43,8.41,8,2,230,6,3,2026,pitcher,46,3.130434782608696,1.565217391304348,14.869565217391305,2.6875,0.18695652173913044,0.06956521739130435,0.11739130434782609,1,7.548464236369433,2.4978212349877777,5.050643001381656,6.681077783990351
